Was ist die Hauptstadt von Frankreich?;Berlin;Paris;Rom;Madrid;2
Welches Element hat das chemische Symbol "O"?;Gold;Sauerstoff;Eisen;Stickstoff;2
Wer schrieb "Romeo und Julia"?;Jane Austen;William Shakespeare;Charles Dickens;Leo Tolstoi;2
Wie viele Kontinente gibt es auf der Welt?;5;7;6;8;2
Was ist die größte Wüste der Welt?;Sahara;Antarktika;Gobi;Arktis;2
Welches Land wird als das Land der aufgehenden Sonne bezeichnet?;China;Japan;Korea;Vietnam;2
Welches ist das längste Fluss der Welt?;Nil;Amazonas;Mississippi;Jangtse;2
Wer hat die Relativitätstheorie entwickelt?;Isaac Newton;Albert Einstein;Galileo Galilei;Niels Bohr;2
Wie viele Planeten gibt es in unserem Sonnensystem?;9;8;7;10;2
Welche Farbe hat eine reife Banane?;Grün;Gelb;Rot;Blau;2
In welchem Jahr wurde die Berliner Mauer errichtet?;1956;1961;1973;1980;2
Welches ist das größte Säugetier der Welt?;Elefant;Blauwal;Giraffe;Gorilla;2
Wer malte die Mona Lisa?;Vincent van Gogh;Leonardo da Vinci;Pablo Picasso;Claude Monet;2
Welcher Planet ist als "der Rote Planet" bekannt?;Jupiter;Mars;Venus;Saturn;2
Welches Land liegt zwischen Kanada und Mexiko?;Brasilien;USA;Argentinien;Chile;2
Welches ist das kleinste Primzahl?;3;2;1;5;2
Welches ist das meistgesprochene Sprache der Welt?;Englisch;Mandarin;Spanisch;Hindi;2
Wer schrieb "Die Odyssee"?;Herodot;Homer;Sophokles;Aristoteles;2
Welcher Planet ist der Sonne am nächsten?;Venus;Merkur;Mars;Jupiter;2
Wie viele Beine hat ein Spinne?;6;8;10;12;2
Welches ist das höchste Gebirge der Welt?;Anden;Himalaya;Alpen;Rocky Mountains;2
Welcher Ozean liegt östlich von Afrika?;Atlantischer Ozean;Indischer Ozean;Pazifischer Ozean;Südlicher Ozean;2
Wer war der erste Mensch im Weltraum?;Neil Armstrong;Yuri Gagarin;Buzz Aldrin;Juri Alexejewitsch Gagarin;2
Welches ist das schnellste Landtier?;Pferd;Gepard;Löwe;Elefant;2
Welches Element hat das chemische Symbol "Hg"?;Gold;Quecksilber;Eisen;Silber;2
Wie viele Zeitzonen gibt es auf der Welt?;12;24;18;36;2
Welche Stadt wird als die "Ewige Stadt" bezeichnet?;Athen;Rom;Istanbul;Jerusalem;2
Wer schrieb "Die Illias"?;Herodot;Homer;Sophokles;Aristoteles;2
Welcher ist der längste Fluss Europas?;Donau;Wolga;Themse;Po;2
Welches ist das größte Organ im menschlichen Körper?;Leber;Haut;Herz;Lunge;2
